Freq,Rect,Flattop
18748440,-23.5725,-3.12
18748480,-20.815,-2.86
18748520,-18.74,-2.6175
18748560,-17.195,-2.385
18748600,-15.965,-2.1725
18748640,-15.0025,-1.9675
18748680,-14.2925,-1.77
18748720,-13.78,-1.59
18748760,-13.4525,-1.4225
18748800,-13.3275,-1.2725
18748840,-13.3925,-1.1325
18748880,-13.6825,-1
18748920,-14.1775,-0.88
18748960,-15.0075,-0.7675
18749000,-16.21,-0.67
18749040,-17.9825,-0.5825
18749080,-20.725,-0.505
18749120,-25.74,-0.43
18749160,-42.63,-0.37
18749200,-27.63,-0.3125
18749240,-20.4975,-0.2675
18749280,-16.34,-0.2225
18749320,-13.4825,-0.19
18749360,-11.2225,-0.16
18749400,-9.405,-0.13
18749440,-7.89,-0.11
18749480,-6.575,-0.09
18749520,-5.455,-0.0875
18749560,-4.4825,-0.075
18749600,-3.6375,-0.065
18749640,-2.91,-0.06
18749680,-2.2725,-0.0575
18749720,-1.73,-0.0525
18749760,-1.27,-0.0525
18749800,-0.8925,-0.0525
18749840,-0.59,-0.0525
18749880,-0.35,-0.06
18749920,-0.1875,-0.05
18749960,-0.0825,-0.06
18750000,-0.065,-0.05
18750040,-0.085,-0.055
18750080,-0.1875,-0.0575
18750120,-0.3575,-0.055
18750160,-0.5875,-0.0525
18750200,-0.8925,-0.0525
18750240,-1.2725,-0.05
18750280,-1.73,-0.075
18750320,-2.27,-0.055
18750360,-2.9125,-0.06
18750400,-3.635,-0.0675
18750440,-4.48,-0.07
18750480,-5.4425,-0.08
18750520,-6.575,-0.0975
18750560,-7.875,-0.11
18750600,-9.405,-0.13
18750640,-11.22,-0.16
18750680,-13.46,-0.19
18750720,-16.3675,-0.22
18750760,-20.4525,-0.27
18750800,-27.575,-0.31
18750840,-42.1525,-0.37
18750880,-25.7175,-0.43
18750920,-20.7625,-0.5025
18750960,-17.9875,-0.585
18751000,-16.2075,-0.6725
18751040,-15.0225,-0.77
18751080,-14.1775,-0.88
18751120,-13.68,-1
18751160,-13.38,-1.13
18751200,-13.3325,-1.2725
18751240,-13.4625,-1.4275
18751280,-13.79,-1.595
18751320,-14.2775,-1.77
18751360,-15.0125,-1.96
18751400,-15.965,-2.17
18751440,-17.2025,-2.3825
18751480,-18.76,-2.62
18751520,-20.8025,-2.86
18751560,-23.6,-3.125
18751600,-27.585,-3.4025
